iter	Passed	Remaining
400	10436	15589
401	10449	15544
402	10463	15500
403	10475	15454
404	10489	15410
405	10502	15366
406	10520	15328
407	10543	15298
408	10560	15259
409	10575	15218
410	10592	15179
411	10605	15135
412	10618	15091
413	10630	15047
414	10644	15004
415	10658	14962
416	10672	14921
417	10687	14881
418	10702	14840
419	10717	14800
420	10731	14758
421	10744	14716
422	10757	14674
423	10770	14632
424	10784	14591
425	10798	14549
426	10811	14508
427	10825	14467
428	10837	14425
429	10851	14384
430	10864	14342
431	10877	14301
432	10890	14261
433	10905	14222
434	10918	14181
435	10931	14140
436	10945	14101
437	10958	14060
438	10971	14020
439	10984	13979
440	10996	13939
441	11009	13899
442	11021	13858
443	11034	13818
444	11048	13779
445	11060	13739
446	11073	13699
447	11087	13661
448	11099	13621
449	11112	13581
450	11125	13542
451	11138	13504
452	11151	13465
453	11164	13426
454	11176	13387
455	11189	13348
456	11202	13310
457	11214	13271
458	11227	13233
459	11240	13195
460	11255	13159
461	11268	13121
462	11281	13084
463	11294	13047
464	11309	13011
465	11321	12973
466	11334	12936
467	11348	12900
468	11362	12864
469	11375	12827
470	11388	12791
471	11401	12754
472	11414	12717
473	11427	12681
474	11441	12645
475	11453	12608
476	11466	12572
477	11480	12536
478	11493	12501
479	11506	12465
480	11519	12429
481	11533	12394
482	11547	12360
483	11560	12325
484	11574	12290
485	11587	12254
486	11599	12219
487	11612	12183
488	11625	12148
489	11639	12114
490	11653	12080
491	11665	12044
492	11678	12009
493	11691	11975
494	11703	11939
495	11716	11905
496	11729	11870
497	11743	11838
498	11757	11804
499	11770	11770
500	11784	11737
501	11796	11702
502	11810	11669
503	11822	11635
504	11836	11601
505	11849	11568
506	11861	11533
507	11875	11501
508	11888	11468
509	11901	11434
510	11914	11401
511	11927	11368
512	11941	11336
513	11954	11303
514	11968	11270
515	11980	11237
516	11993	11205
517	12007	11172
518	12020	11140
519	12033	11108
520	12047	11075
521	12061	11044
522	12074	11012
523	12087	10980
524	12100	10948
525	12113	10915
526	12126	10884
527	12139	10852
528	12152	10820
529	12166	10788
530	12179	10757
531	12193	10726
532	12208	10696
533	12222	10666
534	12236	10635
535	12249	10603
536	12262	10572
537	12275	10541
538	12292	10513
539	12308	10484
540	12323	10455
541	12338	10426
542	12353	10396
543	12367	10366
544	12380	10336
545	12394	10306
546	12409	10276
547	12423	10246
548	12437	10217
549	12450	10186
550	12464	10157
551	12478	10127
552	12492	10097
553	12508	10069
554	12523	10041
555	12537	10011
556	12550	9981
557	12565	9953
558	12579	9923
559	12591	9893
560	12603	9862
561	12616	9832
562	12628	9802
563	12641	9772
564	12653	9742
565	12666	9712
566	12678	9682
567	12691	9652
568	12704	9623
569	12724	9598
570	12744	9575
571	12759	9547
572	12773	9518
573	12786	9489
574	12799	9460
575	12813	9432
576	12828	9404
577	12842	9376
578	12856	9348
579	12869	9319
580	12882	9290
581	12895	9261
582	12908	9233
583	12921	9204
584	12935	9176
585	12947	9147
586	12964	9121
587	12988	9101
588	13003	9073
589	13017	9045
590	13030	9017
591	13044	8990
592	13059	8963
593	13073	8935
594	13087	8908
595	13101	8880
596	13117	8854
597	13131	8827
598	13145	8800
599	13159	8772
600	13173	8745
601	13187	8718
602	13200	8691
603	13215	8664
604	13227	8636
605	13240	8608
606	13254	8581
607	13267	8554
608	13281	8526
609	13294	8499
610	13307	8472
611	13320	8445
612	13334	8418
613	13347	8391
614	13359	8363
615	13372	8336
616	13386	8309
617	13400	8282
618	13414	8256
619	13426	8229
620	13439	8201
621	13452	8175
622	13465	8148
623	13478	8121
624	13491	8094
625	13505	8069
626	13519	8042
627	13532	8016
628	13546	7990
629	13561	7964
630	13574	7938
631	13588	7912
632	13604	7887
633	13620	7862
634	13635	7837
635	13650	7812
636	13665	7787
637	13679	7761
638	13696	7738
639	13712	7713
640	13727	7688
641	13741	7662
642	13754	7636
643	13769	7611
644	13783	7586
645	13799	7561
646	13814	7537
647	13827	7511
648	13840	7485
649	13853	7459
650	13868	7434
651	13881	7409
652	13898	7385
653	13914	7361
654	13930	7337
655	13946	7313
656	13961	7289
657	13977	7264
658	13991	7240
659	14005	7215
660	14020	7190
661	14034	7165
662	14049	7141
663	14063	7116
664	14079	7092
665	14094	7068
666	14109	7044
667	14124	7020
668	14139	6995
669	14152	6970
670	14166	6946
671	14181	6921
672	14196	6897
673	14211	6873
674	14226	6849
675	14241	6825
676	14255	6801
677	14268	6776
678	14281	6751
679	14294	6726
680	14307	6701
681	14319	6676
682	14332	6652
683	14344	6627
684	14357	6602
685	14370	6577
686	14383	6553
687	14396	6528
688	14409	6504
689	14422	6479
690	14435	6455
691	14447	6430
692	14462	6407
693	14477	6383
694	14491	6359
695	14505	6335
696	14520	6312
697	14534	6288
698	14548	6264
699	14562	6240
700	14575	6216
701	14588	6192
702	14602	6169
703	14615	6145
704	14628	6121
705	14641	6097
706	14654	6073
707	14668	6049
708	14681	6025
709	14695	6002
710	14708	5978
711	14722	5955
712	14735	5931
713	14748	5907
714	14761	5883
715	14776	5861
716	14794	5839
717	14807	5815
718	14820	5792
719	14833	5768
720	14847	5745
721	14860	5721
722	14873	5698
723	14886	5674
724	14898	5651
725	14913	5628
726	14926	5605
727	14939	5581
728	14951	5558
729	14964	5534
730	14977	5511
731	14989	5488
732	15002	5464
733	15016	5441
734	15028	5418
735	15041	5395
736	15054	5372
737	15068	5349
738	15080	5326
739	15092	5302
740	15105	5279
741	15117	5256
742	15130	5233
743	15145	5211
744	15161	5189
745	15177	5167
746	15193	5145
747	15209	5123
748	15224	5101
749	15240	5080
750	15255	5058
751	15271	5036
752	15286	5014
753	15301	4992
754	15315	4969
755	15330	4947
756	15345	4926
757	15360	4904
758	15375	4882
759	15391	4860
760	15405	4838
761	15420	4816
762	15434	4794
763	15449	4772
764	15463	4750
765	15479	4728
766	15496	4707
767	15514	4686
768	15529	4664
769	15546	4643
770	15563	4622
771	15581	4601
772	15599	4580
773	15616	4559
774	15634	4538
775	15652	4518
776	15669	4497
777	15685	4475
778	15703	4455
779	15719	4433
780	15736	4412
781	15751	4391
782	15768	4370
783	15783	4348
784	15799	4327
785	15816	4306
786	15832	4285
787	15848	4263
788	15864	4242
789	15879	4221
790	15894	4199
791	15911	4178
792	15927	4157
793	15942	4136
794	15958	4115
795	15973	4093
796	15987	4072
797	16003	4050
798	16019	4029
799	16034	4008
800	16048	3987
801	16062	3965
802	16076	3944
803	16090	3922
804	16105	3901
805	16120	3880
806	16136	3859
807	16150	3837
808	16165	3816
809	16181	3795
810	16197	3774
811	16213	3753
812	16229	3732
813	16244	3711
814	16261	3691
815	16278	3670
816	16294	3649
817	16310	3628
818	16325	3607
819	16340	3587
820	16356	3566
821	16372	3545
822	16387	3524
823	16402	3503
824	16418	3482
825	16436	3462
826	16451	3441
827	16466	3420
828	16480	3399
829	16496	3378
830	16512	3358
831	16527	3337
832	16542	3316
833	16556	3295
834	16571	3274
835	16586	3253
836	16600	3232
837	16615	3211
838	16629	3191
839	16644	3170
840	16659	3149
841	16674	3129
842	16689	3108
843	16704	3087
844	16718	3066
845	16732	3045
846	16746	3025
847	16761	3004
848	16779	2984
849	16795	2963
850	16810	2943
851	16825	2922
852	16840	2902
853	16855	2881
854	16871	2861
855	16886	2840
856	16904	2820
857	16918	2800
858	16934	2779
859	16950	2759
860	16964	2738
861	16982	2718
862	16997	2698
863	17012	2677
864	17026	2657
865	17040	2636
866	17054	2616
867	17068	2595
868	17083	2575
869	17098	2554
870	17112	2534
871	17126	2513
872	17140	2493
873	17156	2473
874	17171	2453
875	17187	2432
876	17201	2412
877	17217	2392
878	17233	2372
879	17248	2352
880	17263	2331
881	17283	2312
882	17310	2293
883	17333	2274
884	17357	2255
885	17373	2235
886	17390	2215
887	17408	2195
888	17425	2175
889	17442	2155
890	17459	2135
891	17478	2116
892	17495	2096
893	17521	2077
894	17546	2058
895	17562	2038
896	17582	2018
897	17599	1999
898	17615	1979
899	17633	1959
900	17667	1941
901	17687	1921
902	17706	1902
903	17724	1882
904	17741	1862
905	17758	1842
906	17777	1822
907	17795	1803
908	17812	1783
909	17831	1763
910	17849	1743
911	17868	1724
912	17886	1704
913	17904	1684
914	17921	1664
915	17936	1644
916	17953	1625
917	17971	1605
918	17988	1585
919	18004	1565
920	18022	1545
921	18036	1525
922	18056	1506
923	18070	1486
924	18084	1466
925	18101	1446
926	18117	1426
927	18132	1406
928	18145	1386
929	18159	1366
930	18171	1346
931	18183	1326
932	18197	1306
933	18210	1286
934	18222	1266
935	18235	1246
936	18247	1226
937	18259	1206
938	18278	1187
939	18290	1167
940	18302	1147
941	18315	1127
942	18328	1107
943	18340	1087
944	18352	1068
945	18365	1048
946	18378	1028
947	18390	1008
948	18402	988
949	18415	969
950	18428	949
951	18440	929
952	18452	910
953	18465	890
954	18477	870
955	18489	850
956	18505	831
957	18518	811
958	18530	792
959	18544	772
960	18556	753
961	18568	733
962	18582	713
963	18595	694
964	18608	674
965	18619	655
966	18631	635
967	18643	616
968	18660	596
969	18672	577
970	18684	558
971	18697	538
972	18710	519
973	18721	499
974	18733	480
975	18746	460
976	18758	441
977	18770	422
978	18782	402
979	18795	383
980	18807	364
981	18820	344
982	18832	325
983	18844	306
984	18856	287
985	18872	267
986	18885	248
987	18897	229
988	18908	210
989	18920	191
990	18932	171
991	18943	152
992	18954	133
993	18965	114
994	18976	95
995	18987	76
996	18999	57
997	19010	38
998	19021	19
999	19032	0

986	21133	278
987	21151	256
988	21169	235
989	21188	214
990	21207	192
991	21226	171
992	21243	149
993	21260	128
994	21276	106
995	21293	85
996	21311	64
997	21327	42
998	21343	21
999	21361	0
617	2068
967	60643	2004
968	60668	1940
969	60693	1877
970	60719	1813
971	60746	1749
972	60772	1686
973	60797	1622
974	60824	1559
975	60856	1496
976	60882	1433
977	60909	1370
978	60934	1307
979	60966	1244
980	60993	1181
981	61014	1118
982	61045	1055
983	61070	993
984	61094	930
985	61121	867
986	61146	805
987	61172	742
988	61197	680
989	61222	618
990	61245	556
991	61265	494
992	61286	432
993	61307	370
994	61328	308
995	61348	246
996	61370	184
997	61393	123
998	61416	61
999	61438	0
